,Clothing ID,Age,Title,Review Text,Rating,Recommended,Positive Feedback Count,Division Name,Department Name,Class Name
2795,868,34,Cute top,"This top looks exactly as pictured, it is a little more billowy but i liked that about it. i found that it ran true to size and i am 5'8'', 128lbs and ordered a small. i am going to order the white because the cut is super cute.",5,1,2,General,Tops,Knits
2800,868,51,"Love the color, design and flow","Love this shirt, can dress up or more casual. wish i would of purchased all colors!",5,1,0,General,Tops,Knits
2801,868,28,Beautiful design but too big,"I really wanted to love this top. i got it in xs in peach. the color is beautiful. i wish they had this exact same color in the boardwalk stroll top. the v neck was way too low and i don't want to have to wear a tank underneath. i would be willing to try an xxs but it's been sold out for awhile now and looks like it's not coming back. if the size were smaller, v neck higher up, and the top portion of the dress more fitted, it would be the perfect tee!",3,1,0,General,Tops,Knits
2802,868,23,Go to tee,If you are looking for the perfect t-shirt to add a little flare to your basics this is the one for you. it is so comfy and baggy yet still looking like you pulled yourself together. i am just waiting for more colors to come out. i basically live in the green and white versions of this shirt.,5,1,0,General,Tops,Knits
2803,868,34,So tent-like and unflattering!,"Looks great on the model, but in actuality there is way too much fabric; what should be flowy and billowy looks like a tent (or a maternity top on a petite woman). it didn't matter which size, they all fit me disastrously. i love the look and i thought of keeping it and having it taken in, but there's too much fabric under the chest to make it an easy cut/alteration on the side seams. sometimes i wonder who comes up with these patterns, and if they pin the shirts back on the models. if you put a",1,0,0,General,Tops,Knits
2808,868,41,Pretty but really large!,"I am all for a cute flowy tee but this one felt like i was swimming a bit. if you're a true xs, i'd skip this one. however, if you are able to size down i think it would look really great!",3,1,4,General,Tops,Knits
2809,868,37,,"Love this tee! it's stylish and comfy. i ordered the white and it's a thicker fabric, so i don't have to wear a camisole underneath.  i want to order more colors.  it does slightly big.",5,1,0,General,Tops,Knits
2811,868,32,Cute tee too much fabric,I bought the top in an x-large because i normally wear a 12/14 and i was swimming in it. i unfortunately returned it but did eventually buy the large. it is a cute fit and a fun tee to have. the fabric is soft but a little excessive on the bottom.,5,1,2,General,Tops,Knits
2813,868,55,Elegant,"I love this t-shirt, i feel classy, stylish and comfortable wearing it. as other reviewers have noted, it is bellowy in the peplum, but that is the design and i love it. it looks great with skinny jeans and can be dressed up or casual. another terrific purchase from retailer!",5,1,1,General,Tops,Knits
2815,868,32,Almost great,"I had been eyeing this top for weeks. it's look so beautiful on the model, however, not great on me. material is fab. the tee is way shorter than it appears online and there is too much flutter material.",3,0,2,General,Tops,Knits
3000,868,27,"Wants to be modern, but didnt get there.","I was hoping this top would be a nice architectural piece to add to my wardrobe with its straight black line accents. sadly, in the end, it is just a t-shirt. a large t-shirt. i ordered my normal size (medium) and this shirt ran more like a large. i also did not like the way the neck was hemmed. the fabric folds over itself, when i think a better design would have been a more simple hem. i ended up returning this item due to its size.",4,1,0,General,Tops,Knits
3788,868,64,"Nice, but not for me","I took a chance on this top because i liked the style. i prefer natural fibers like cotton and linen. this is rayon and spandex. sure, why not at least give it a shot and go outside my box?! if the fabric would have been my preference, it would have been a keeper. i did not like the feel, nor the semi-sheer quality. maybe it would work for you, but not for me. back it went.",3,0,2,General,Tops,Knits
4443,868,61,Very stylish but made with cheap fabric,"I love the design of this tunic. it is sewn well, but the fabric is cheap. i disliked the texture of the fabric so much that i returned it.",3,0,2,General,Tops,Knits
4444,868,35,Stylish and comfy,"Love the multi textured look of this top! to me it's like a modern take on a classic sweatshirt. i'm 5'4 and loved the length. to me it is tts, but bigger busted girls may want to size up. i'm a 34b for reference.",4,1,0,General,Tops,Knits
4446,868,45,Love this top!,"I love the fabric, texture mix and length of this top. i gave it a four stars because my usual size is a medium but had to go with a large. a medium felt a bit too snug through the shoulders. very happy with this top and look forward to wearing it a lot.",4,1,0,General,Tops,Knits
4448,868,39,Really pretty but big,"I tried on the regular size at my store (wish stores close to me carried petites), and it was jsut too overwhelming (aka big). i wanted to purcahse the petite, however, as i really like it (striked out as they are sold out in my size, bummer).

the cut is otherwise flattering, and the sweater is really comfortable. i like all the contrasting ""colors"" and patterns too.",5,1,0,General,Tops,Knits
4453,868,29,Sleeves are a dealbreaker,"This is literally the most unflattering thing i have ever tried on from retailer. the sleeves are so weird and ugly. they get really fat at the top, like a dolman sleeve, but it looks really strange because they don?t flow into the rest of the top, which is very structured. it made my shoulders look huge even though i have very narrow shoulders. this is not apparent in the model picture at all. the thick black seams at the shoulders are also placed in a really awkward spot which also contri",1,0,2,General,Tops,Knits
4454,868,44,Tight through the bust,I normally wear a large but this had no give through the bust! beware big chested girls!!!,4,1,0,General,Tops,Knits
4457,868,43,,"To my surprise this sweater is heavy, chic and stylish. its well made and fits tts. i'm looking forward to wearing it. i would recommend this tunic to everyone. it looks better on me than the model.....event though it doesn't look bad. you need curves to enhance the look of this tunic sweater. i really like all the different textures in this sweater.",5,1,1,General,Tops,Knits
4463,868,36,Too short tunic,I really wanted to love this top. love the mix of fabrics and patterns. but it is too short for a tunic length. i should have paid attention to other reviews. i'm about 5'8'' and was not too tight in the bust and shoulders.i have to return because the length isn't right.,3,0,0,General,Tops,Knits
4467,868,34,Unique and wonderful,"The sweater is comfortable and a good weight. the zipper is very difficult, but i do not have to unzip the sweater to pull it on.",5,1,2,General,Tops,Knits
4469,868,39,Too boxy and heavy if you are petite and curvey,"I was looking forward to this cute top to get me through the winter, but the combination of the very think fabric and boxy shape did not work on my 5'2"", 130 lb, 34d figure. the one i received also had an open unfinished seam beneath the zipper. i imagine this would be a great top for someone taller.",3,0,0,General,Tops,Knits
4470,868,44,Unique mix of textures and patterns,"I ordered a small and medium because i was worried about the chest being too tight (i am 5'6"", 140 lbs, 34d) but i was swimming in a size medium. it was huge. the small really fits me just fine. my only issue is that the very bottom of the sleeves is tight. i would like to push them up a little since they are 3/4 length, but they are tight. i am still keeping the small though....maybe i'll do surgery on the cuffs!",4,1,0,General,Tops,Knits
4472,868,22,Odd length,"This fabric of this top is gorgeous. however, i'm 5' 5"" and it hits in a really weird spot. right no the point of the hip that you don't want to accentuate. you could wear it with leggings to a casual thing, but i work in an office so its too short to wear with leggings and too long to wear with jeans. sad, i love the top 90% of it.",3,1,9,General,Tops,Knits
4994,868,46,So soft!,"Retailer has great designs but sometimes they use cheap fabrics and are not quality made. this top is quality made and super soft. its a little thicker than a normal cotton t-shirt but thinner than a sweatshirt. i normally wear medium (34dd, 135-140 lbs, 5'4"") and this was tts. i got the blue and its a little bit darker in person. one big plus imo is that you can put it in washer and dryer, no need to line dry! i am going to buy the natural colored stripes one too. also, i bought the normal size.",5,1,12,General,Tops,Knits
4997,868,37,Nice top but runs large,"Quality is excellent. i agree with another reviewer that the top runs large. i am usually a medium, but i was swimming in it. i live in alaska and would not know how to return it so i am just keeping it and wearing it on those cool lazy days. i'm sure it would still look classy because of the design.",4,1,0,General,Tops,Knits
5008,868,72,"All-around quality, but big","This is a top-flight notch: an attractive design, nicely made. for me, the fabric is rather heavy for summer wear, but that won't prevent me from keeping it for cooler days. my one complaint is the sizing. i weigh a bottom-heavy 146 lbs. and hoped i'd get away with a medium. but it swims on me...not ""a bit too large,"" but ""way too large."" i'm returning it and hoping that a small will be small enough.",4,1,4,General,Tops,Knits
5071,868,41,Great tee!,"I was hesitant to buy but this tee is easy, light, and fun to wear.  the fabric is light but not see through in the slightest.  the construction is perfect.  it is tts for an oversized tee.",5,1,0,General,Tops,Knits
5731,868,30,,"Great shirt, more of a stretch to it than i thought it would. very flowy, looks great with jeans & leggings.",5,1,0,General,Tops,Knits
5748,868,21,Closet essential,"A great white blouse! i expected this top to be sheer and yet it's quite opaque. i bought the white in a size small, i find it true to size and the silhouette is very flattering. relaxed yet super polished look.",5,1,0,General,Tops,Knits
5773,868,61,"Versatile, comfortable, quality","I bought this shirt in white, i have worn it 2 ways so far and love it. i wore it under a pull over and had the tail ends stick out and it was great that way, and i wore it with a long cardigan. i received a lot of compliments on it. i will be buying it in red!!",5,1,0,General,Tops,Knits
6139,868,48,"Bright, fun blouse","I love this blouse. the color is so pretty! i might even wear this to a holiday party. the tie looks great so many ways--love the versatility. i think i will get a lot of wear out of this blouse--with a pencil skirt, jeans or under a blazer.",4,1,1,General,Tops,Knits
6144,868,43,Boxy and unflattering,"Not at all tapered at waist as suggested here by photos. i have wide shoulders and am slim, and this made me look big all around. i am doubtful a smaller size would correct this- i am 5'10"" and ordered a medium. also, it curls under a bit at the waist. one nice thing about the cream is that it is not see through. anyway, i purchased this to go with high waisted skirts but am returning.",2,0,4,General,Tops,Knits
6154,868,65,Comfortable,"This top is flowy, fluid and comfortable. the material is like a stretchy crepe. it's thin, but not sheer. well, i bought the bright red (maybe white is sheer?). oh, speaking of bright red, well it is! i mean, it is the most vibrant red. the photo on-line (at least on my screen) doesn't really do the red justice at all.

the fit is true to size. the nice thing about this top is that it has movement and yet it isn't full of fabric and look like a maternity top. and, the armholes are not big. th",5,1,9,General,Tops,Knits
6713,868,67,Love!!,"I feel for the reviewer who didn't like this top. i tried on my normal size medium and it was not very flattering (just too short). when i sized up, everything changed. this top is amazing--super flattering and high quality. i love the material, v-cut, and subtle way the tassels hang. i wish they had more colors-i would buy them all! this top sold out in a day at my store. it's a winner-just make sure you size up.",5,1,4,General,Tops,Knits
6723,868,58,The fringe on the bottom is great!,"I love this tank top...the fringe on the bottom is fun, and i've gotten many compliments on it already...i think it runs true to size :-)",4,1,0,General,Tops,Knits
6810,868,70,Amazing top,This top is just amazing. it does run large so size down but fit and feel is wonderful especially if you would like to hide some lumps and bumps this is the perfect top.,5,1,1,General,Tops,Knits
6812,868,29,"Yeah, but it's a great tent!","Ok, this shirt is like my dream.  it's large, comfy but sexy with the back dip.  as a larger chested lady (32g), i really appreciate having a tee that i can easily throw on and look put together.  clearly, this is a larger, styled swing tee but it's one of my favorites.  paired with a cute pair of boots, and easily worn with a jacket.  it can tend to fall off the shoulders so i'd size down.  i'll probably pick up the grey too.",5,1,0,General,Tops,Knits
6824,868,32,,"This top is cut too short & wide with too much light material in between. to be truly slimming & flattering, it needs to have more of the rayon/spandex blend, to make it heavier & bouncier. then it would ""hang"" appropriately and ""swing"" and (hopefully) not add pounds to the wearer. unfortunately this top is too lightweight & has too much material. pass.",3,0,0,General,Tops,Knits
6833,868,46,Blousy top,"I originally bought this in medium, my normal size. when it arrived, it was absolutely huge, like wearing teepee. i took it back to the store, and re ordered a small, in the black, and now it fits great. this is a great shirt, but giving four stars due to the inconvenience.",4,1,3,General,Tops,Knits
6841,868,35,,This top is soft and comfortable without being some shapeless drag with too much fabric. i did size down as did the other woman in the store with me. i can see many more wears out of this top. wish it had been made in other colors or white would be beautiful!,5,1,0,General,Tops,Knits
6847,868,37,Love this!,"I tried this one on twice before i committed to it, but i'm so glad i did!! this top has a lot of volume. it is fitted in the arms (but stretchy), has quite a large neckhole (but lays beautifully on my neck and shoulders), and has a lot of volume on bottom. what i love about it is the variance in length at the hem. it's long in the front and back, then comes up on the sides. this makes the top really feminine and lovely! it's the perfect top for women who carry weight in their belly or butt...i",5,1,3,General,Tops,Knits
6848,868,50,Super comfortable and flattering,"I tried this shirt on on a whim in my local store when i was there to shop the sale items an to my surprise, it was very flattering and comfortable. it had a unique fit and design; i tried on the black in an xs (my usual size) and surprisingly, i didn't find it to be too big at all. it fit just like it did on the model. you could almost wear it as a mini dress over leggings/shorts based on the length. like one of the previous reviewers, it would be great if it came in other colors. this top woul",5,1,1,General,Tops,Knits
6851,868,67,Pretty but.....,"The fabric and style on this swing tee are really nice but be aware it runs really, really large. i downsized on my order because of the style but it wasn't enough. like wearing a tent. i would recommend it but know its very full. i did return it.",3,1,16,General,Tops,Knits
6856,868,30,Lovely but large!,The quality of this top does not disappoint; but it does run very large. i wear a size 14 and a 40d bra size; & the xl fit more like a xxl and was too big. i am exchanging it for a size smaller. i can't wait to enjoy it!,4,1,1,General,Tops,Knits
7086,868,59,"Super comfortable, love the design and fabric","I am 5'9"" 155#. i bought the charcoal gray in a large and i love it. fabric is super soft. hangs beautifully. no weird spreading across the chest like the previous reviewer. i have long arms and the sleeves are long and hit me mid palm just like the model in the photo. i have worn the sleeves rolled up and down and it works. recommend this for a casual comfy top with interesting design.",5,1,4,General,Tops,Knits
7092,868,29,Nice shirt,"This is a nice, soft shirt that is very comfortable to wear. the collar on this shirt makes this more than just a regular shirt. although the shirt seems more fitted on the model, i found it to run large. if you are going for the same look, you might want to size down. however, i like the shirt and am keeping it. it is a good thing too, because the navy color went fast. very nice shirt and a pretty good price too.",5,1,5,General,Tops,Knits
7107,868,46,Comfortable,"Got this in the red, like previous reviewer mentioned - it does fit snug.
you might need to size up if you are busty and want a much looser fit.

other than that, super comfortable and soft fabric",4,1,0,General,Tops,Knits
7150,868,62,Chic funky fun find,"I love a dolman. the tassled dolman is slimming, light and comfortable.",5,1,11,General,Tops,Knits
7153,868,54,Super cute but fits like a petite,"I loved this top, and i normally order petites when i'm able to, but this wasn't offered in a petite size so i took a chance and ordered it in regular. just got it in the mail and when i pulled it out i thought wow, it is a petite! but its not, just runs small. i got the xs size and it was tight under the arms, and the peplum bottom came up a bit high and felt slightly maternity-ish the way the bottom part flared out. i actually thought it was a bit too short too, even on me (5'2"", about 118 lbs",4,1,15,General,Tops,Knits
7171,868,53,My go to,This is so comfortable and flattering and hides everything but yet is fun! i actually love to wear it with jeans. and it goes great with a really great piece of jewelry.,5,1,0,General,Tops,Knits
7186,868,67,Effortless beauty!,"I have been eyeing this top for a couple weeks and finally found it in my store. it was a good sign when i saw our stores in-house stylist wearing it! i absolutely love the fit--it's soft and stretchy and fabric is nice quality. i'm typically a medium, sometimes large--i bought the medium and it's perfect. i could have gone down to a small as well. the large was way too big (for reference i'm 5'8"", athletic, 150lbs). this top is going to take me everywhere this summer! worth a try!",5,1,2,General,Tops,Knits
7187,868,63,A different look,"I really was surprised at how much i liked this top. it is, as others pointed out, a poncho type overlay with a tank connected underneath. it is very comfortable and forgiving of any body boo boos. looks great with skinny white pants.",5,1,1,General,Tops,Knits
7197,868,44,Didn't look good on me,Thought i would try this as other reviewers loved it and it's out of my comfort zone. it looked like a poncho with a baggy tank underneath. not worth the price. the tassels looked a bit worn as well.,3,0,0,General,Tops,Knits
7219,868,53,"Versatile, comfy, we'll made!","A feminine yet mature looking cami. i did not need to wear a bra because the material is thick and stretchy (i am a 34a). it looks great with a pencil skirt as well as chino shorts. feels soft and comfy. can dress it up or down. i took a small and it fit perfectly  (l am 5'4"" 120lbs).",5,1,3,General,Tops,Knits
7235,868,32,Huge but so soft,I'll start this by saying i usually wear a m or l depending on the shirt. i'm 20 weeks pregnant and ordered a medium. it's huge! i was thinking i would be able to wear this for a bit while preggo and then would be able to wear it after baby with no problem. i'm going to order a small because the fabric is so soft and i love the design and color.,4,1,1,General,Tops,Knits
7245,868,32,Size down 1-2 sizes,"I am normally a m-l (170 lbs, 5'4"", 34dd). i ordered this top in a medium knowing it ran big, and it is huge. seriously, i could wear it as a dress. i like the whole loose and comfy top thing, but this is so massive it looks sloppy. i'm going try and return it for a small. hey, i like that i can wear a small! the green color really is pretty, and it's so soft. just need a much smaller size.",3,1,0,General,Tops,Knits
7252,868,44,"So comfy, great fabric","This is such a comfy top, and the fabric is really great. more supple / flowy than i expected. it does run larger than i expected. i typically wear a large, and it's almost more billowy than i would normally prefer. i would love to try a medium to see the difference, but since it was purchased online, i'm just going with it. this will get lots of wear this season.",5,1,5,General,Tops,Knits
7263,868,35,Very cute!,"This is such a great top! it runs huge though. i normally wear a small but bought the xs. it fits ok. i would prefer the xxs, but i bought it on sale and retailer is sold out. for reference, i am 5`6 and about 138 lbs. very flowy soft fabric, great purchase.",4,1,0,General,Tops,Knits
7539,868,41,Charming and stylish sweatshirt,This sweatshirt is extremely comfy and stylish. i am happy with the item and it runs a snag large but perfect for a sweatshirt.,5,1,1,General,Tops,Knits
7574,868,59,Cute casual sweatshirt,This is very cute but runs small. my typical xs is too small all over. arms are short and top is short and tight. i'll order a small and hope it fits.,4,1,0,General,Tops,Knits
7581,868,23,Practical and cute,I purchased this shirt in blue and i like it. the fabric is more of a stretchy/jersey material - didn't expect that. but the shirt looks decent on and is comfortable.,4,1,0,General,Tops,Knits
7582,868,56,Poor fit,"I ordered this top on line. i wanted to love it, but unfortunately the fit was not for me. i am 5'9 with a long torso. this top was cut very wide and looks like a maternity top.",1,0,0,General,Tops,Knits
7585,868,38,Love,This top is beautiful and i'm in love..but.. it'd huuuuggge! i'm always a large in retailer tops. im going to return for a med or maybe even a small ( which is unheard of for me) .... quality is great!!! get it just size down,5,1,0,General,Tops,Knits
7588,868,33,,"Love this top! i tried it on in the store and instantly loved. i wore it and ordered it in another color. i bought my usual size but decided i'd like to have it slightly smaller for the next one, so i ordered down. it can go either way, it's quite flawy and roomy. cool for summer and supper flattering.",5,1,0,General,Tops,Knits
7589,868,62,Everyone needs this,"This is my new favorite white top in my closet - the loose fit, flowy quality fabric, and effortless versatility are spot on for anyone's wardrobe. i took my usual size s - i wouldn't size down in this because although it's roomy in the torso, the sleeves and shoulders fit perfectly on my thin arms. everyone should have this beauty!",5,1,0,General,Tops,Knits
